IC0010_GL 0 20 24 59 18 0
IC0043_GL 0 42 24 29 38 0
IC0049_GL 0 44 0 1 51 0
IC0051_GL 0 46 24 -13 26 0
IC0056_GL 0 51 30 -12 51 0
IC0059_DN 0 56 42 61 4 0
IC0063_DN 0 59 30 60 49 0
IC0065_GL 1 0 54 47 41 0
IC0079_GL 1 8 48 -15 57 0
IC0089_GL 1 16 6 4 18 0
IC0119_GL 1 27 54 -2 3 0
IC0127_GL 1 29 48 -6 59 0
IC0146_GL 1 38 42 -17 50 0
IC0166_DN 1 52 30 61 50 0
IC0167_GL 1 51 6 21 55 0
IC0172_DN 1 54 54 0 49 0
IC0173_GL 1 56 0 1 17 0
IC0175_DN 1 56 18 1 20 0
IC0198_GL 2 6 6 9 17 0
IC0208_GL 2 8 24 6 23 0
IC0209_GL 2 9 0 -7 4 0
IC0211_GL 2 11 6 3 52 0
IC0223_GL 2 22 0 -20 45 0
IC0239_GL 2 36 30 38 58 0
IC0249_GL 2 41 6 -6 56 0
IC0267_GL 2 53 48 12 50 0
IC0277_GL 2 59 48 2 46 0
IC0284_GL 3 6 12 42 23 0
IC0289_PN 3 10 18 61 19 0
IC0292_GL 3 10 18 40 46 0
IC0302_GL 3 12 48 4 42 0
IC0309_GL 3 16 6 40 48 0
IC0310_GL 3 16 42 41 20 0
IC0312_GL 3 18 6 41 45 0
IC0313_GL 3 21 0 41 54 0
IC0324_GL 3 26 30 -21 21 0
IC0334_GL 3 45 12 76 38 0
IC0335_GL 3 35 30 -34 27 0
IC0342_GL 3 46 48 68 6 0
IC0343_GL 3 40 6 -18 27 0
IC0346_GL 3 41 42 -18 16 0
IC0347_GL 3 42 30 -4 17 0
IC0348_DN 0 34 240 32 17 0
IC0351_PN 3 47 30 35 3 0
IC0353_DN 3 55 0 25 29 0
IC0356_GL 4 7 48 69 49 0
IC0359_DN 4 19 0 28 12 0
IC0360_DN 4 13 0 25 38 0
IC0361_OC 4 19 0 58 18 0
IC0382_GL 4 37 54 -9 31 0
IC0387_GL 4 41 42 -7 5 0
IC0391_GL 4 57 24 78 11 0
IC0396_GL 4 58 0 68 19 0
IC0398_GL 4 58 12 -7 47 0
IC0405_DN 5 16 12 34 16 0
IC0410_DN 0 52 120 33 31 0
IC0416_GL 5 23 54 -17 16 0
IC0417_DN 5 28 6 34 26 0
IC0418_PN 5 27 30 -12 42 0
IC0423_DN 5 33 24 0 -37 0
IC0426_DN 5 36 48 0 -15 0
IC0430_DN 5 38 30 -7 5 0
IC0431_DN 5 40 18 -1 27 0
IC0432_DN 5 40 54 -1 29 0
IC0434_DN 5 41 0 -2 24 0
IC0435_DN 5 43 0 -2 19 0
IC0438_GL 5 53 0 -17 53 0
IC0443_DN 6 16 54 22 47 0
IC0444_DN 6 20 24 23 16 0
IC0446_DN 6 31 0 10 27 0
IC0448_DN 6 32 42 7 19 0
IC0449_GL 6 45 42 71 21 0
IC0450_GL 6 52 12 74 26 0
IC0451_GL 6 52 54 74 29 0
IC0456_GL 7 0 18 -30 10 0
IC0466_DN 7 8 36 -4 19 0
IC0467_GL 7 30 0 79 52 0
IC0468_DN 7 17 30 -13 9 0
IC0469_GL 7 56 0 85 10 0
IC0492_GL 8 5 42 26 10 0
IC0509_GL 8 32 0 24 0 0
IC0511_GL 8 40 48 73 29 0
IC0512_GL 9 4 0 85 30 0
IC0520_GL 8 53 42 73 29 0
IC0529_GL 9 18 30 73 46 0
IC0538_GL 9 27 24 23 1 0
IC0543_GL 9 30 54 -14 44 0
IC0547_GL 9 36 12 -12 25 0
IC0562_GL 9 46 6 -3 58 0
IC0563_GL 9 46 18 3 3 0
IC0564_GL 9 46 24 3 4 0
IC0600_GL 10 17 12 -3 30 0
IC0602_GL 10 18 18 7 3 0
IC0610_GL 10 26 30 20 14 0
IC0624_GL 10 36 18 -8 21 0
IC0629_GL 10 37 0 -27 34 0
IC0630_GL 10 38 30 -7 10 0
IC0651_GL 10 51 0 -2 8 0
IC0655_DN 10 54 24 0 -22 0
IC0676_GL 11 12 42 9 4 0
IC0694_GL 11 28 30 58 34 0
IC0701_GL 11 30 48 20 28 0
IC0712_GL 11 34 48 49 4 0
IC0740_GL 11 50 36 55 21 0
IC0749_GL 11 58 36 42 44 0
IC0750_GL 11 58 54 42 43 0
IC0751_GL 11 58 54 42 34 0
IC0755_GL 12 1 12 14 6 0
IC0757_OC 12 3 24 52 39 0
IC0758_GL 12 4 12 62 30 0
IC0760_GL 12 5 54 -29 18 0
IC0764_GL 12 10 12 -29 44 0
IC0769_GL 12 12 30 12 7 0
IC0773_GL 12 18 6 6 8 0
IC0775_GL 12 18 54 12 55 0
IC0781_DN 12 20 6 14 58 0
IC0783_GL 12 21 36 15 45 0
IC0794_GL 12 28 6 12 6 0
IC0800_GL 12 33 54 15 21 0
IC0802_DN 12 35 48 74 15 0
IC0818_GL 12 46 36 29 44 0
IC0821_GL 12 47 24 29 48 0
IC0835_GL 12 56 54 26 29 0
IC0844_GL 13 3 18 -30 31 0
IC0850_GL 13 7 48 0 -51 0
IC0853_GL 13 8 36 52 46 0
IC0863_GL 13 17 12 -17 16 0
IC0874_GL 13 19 0 -27 38 0
IC0875_GL 13 17 6 57 32 0
IC0879_GL 13 19 42 -27 26 0
IC0883_GL 13 20 36 34 8 0
IC0900_GL 13 34 42 9 21 0
IC0903_DN 13 38 24 0 -14 0
IC0922_DN 13 43 18 55 36 0
IC0928_DN 13 43 42 55 37 0
IC0931_DN 13 43 48 55 37 0
IC0954_GL 13 50 0 71 10 0
